,query,intent
0,ghost bed,Transactional
1,ghostbed,Commercial Investigation
2,ghost mattress,Informational
3,zero gravity bed,Unknown
4,mattress cover,Informational
5,queen vs full mattress,Informational
6,ghostbed mattress,Transactional
7,ghost pillow,Informational
8,difference between queen and king,Informational
9,ghostbed luxe,Transactional
10,full vs queen,Informational
11,ghost bed mattress,Informational
12,sleeping with legs elevated,Informational
13,king vs queen bed,Informational
14,sleeping with feet elevated,Informational
15,how to get blood out of mattress,Informational
16,adjustable bed base,Informational
17,ghostbed luxe review,Informational
18,how to get pee out of a mattress,Unknown
19,full vs queen size,Informational
20,difference between full and queen,Informational
21,split king mattress,Informational
22,ghostbed adjustable base,Informational
23,twin vs twin xl,Unknown
24,affirm mattress,Informational
25,sleeping elevated,Transactional
26,how to sanitize a mattress,Informational
27,bed size comparison,Informational
28,queen vs king,Unknown
29,ghostbed flex,Unknown
30,bed sizes,Informational
31,full bed vs queen,Unknown
32,split king adjustable mattress,Commercial Investigation
33,zibby,Navigational
34,mattress size comparison,Informational
35,queen vs king size,Informational
36,split king bed,Informational
37,how to get blood stain out of mattress,Informational
38,how to remove blood stains from mattress,Informational
39,how to clean pee out of a mattress,Informational
40,ghostbed pillow,Unknown
41,ghost bed pillow,Informational
42,king size bed vs queen,Informational
43,king adjustable base,Transactional
44,disinfect mattress,Informational
45,mattress sanitizer,Informational
46,what size weighted blanket,Informational
47,ghost bed reviews,Informational
48,king adjustable bed,Informational
49,size difference between queen and full,Informational
50,purple mattress cost,Informational
51,ghostbed com drinkin bros,Unknown
52,how to wash sheets,Informational
53,adjustable base,Transactional
54,adjustable bed frame,Informational
55,split king,Unknown
56,split king adjustable base,Transactional
57,how to wash bed sheets,Informational
58,power base bed,Informational
59,full size weighted blanket,Commercial Investigation
60,ghostbed queen,Transactional
61,king size adjustable base,Transactional
62,ghostbed drinkin bros,Unknown
63,ghost bed frame,Transactional
64,ghostbed reviews,Informational
65,size difference between queen and king,Informational
66,how to get urine out of mattress,Unknown
67,how to get pee smell out of mattress,Informational
68,difference between king and queen bed,Informational
69,memory foam mattress in a box,Transactional
70,king size weighted blanket,Transactional
71,ghostbed split king,Informational
72,ghostbed com,Unknown
73,ghostbed sheets,Informational
74,ghostbed warranty,Informational
75,queen adjustable base,Informational
76,supima cotton sheets,Transactional
77,how to clean pee from mattress,Informational
78,difference between twin and twin xl,Informational
79,split king adjustable bed with mattress,Informational
80,weighted blanket size chart,Informational
81,what's bigger a queen or king bed,Informational
82,twin v twin xl,Informational
83,sleeping with legs up,Informational
84,sleeping with head elevated,Informational
85,how to get blood off mattress,Informational
86,bed com,Transactional
87,how much bigger is a queen than a full,Informational
88,how to get cat pee out of mattress,Informational
89,zibby login,Informational
90,ghostbed black friday 2016,Unknown
91,how to get urine smell out of mattress,Informational
92,ghostbed hybrid,Unknown
93,ghostbed luxe 13 queen memory foam mattress,Transactional
94,adjustable bed frame king,Transactional
95,purple mattress price,Informational
96,mattress size chart,Commercial Investigation
97,0 gravity bed,Informational
98,how much bigger is a king than a queen,Informational
99,sizes of weighted blankets,Commercial Investigation
100,queen vs king mattress,Informational
101,which is bigger king or queen bed,Informational
102,what is a split king bed,Informational
103,split king mattress with adjustable base,Transactional
104,what is the difference between a king and queen bed,Informational
105,how to clean a memory foam mattress,Informational
106,adjustable bed frame split king,Informational
107,head elevated,Informational
108,queen bed dimensions,Informational
109,get blood out of mattress,Informational
110,remove blood stain from mattress,Informational
111,how to get urine out of memory foam mattress,Informational
112,how to disinfect a mattress,Informational
113,twin bed dimensions,Informational
114,california king vs king,Informational
115,foam vs spring mattress,Informational
116,queen bed vs king bed,Informational
117,ghost bed bundle,Unknown
118,ghostbed llc,Unknown
119,ghostbed return experience,Informational
120,ghostbed pillow coupon,Transactional
121,ghostbed adjustable power base,Informational
122,ghostbed return shipping,Informational
123,ghostbed cover,Informational
124,king size ghostbed dimensions,Informational
125,ghostbed luxury sheets,Commercial Investigation
126,ghostbed military discount,Informational
127,ghostbed mattress protector cover,Informational
128,twin mattress dimensions,Informational
129,how to get period blood out of mattress,Informational
130,zero gravity mattress,Informational
131,how to remove blood from mattress,Informational
132,ghost mattress queen,Informational
133,ghost mattress king,Transactional
134,twin size mattress,Informational
135,is full same as queen,Informational
136,is it bad to sleep with your feet elevated,Informational
137,white glove mattress delivery,Informational
138,how to remove urine from mattress,Informational
139,remove blood from mattress,Informational
140,sleep cool,Unknown
141,washing sheets,Informational
142,blood stain on mattress,Informational
143,boxspring,Transactional
144,bed size chart,Informational
145,how to get urine out of a mattress when dry,Informational
146,full vs queen dimensions,Informational
147,clean urine from mattress,Unknown
148,how to get dog pee out of mattress,Unknown
149,foam mattress in a box,Informational
150,adjustable bed base queen,Informational
151,how to remove urine stains from mattress,Informational
152,pee on mattress,Unknown
153,are full and queen the same size,Informational
154,what size weighted blanket do i need,Informational
155,bed sizes compared,Informational
156,remove urine from mattress,Informational
157,average queen mattress price,Informational
158,what setting to wash sheets,Informational
159,adjustable bed sex,Unknown
160,how to sanitize my mattress,Informational
161,feet elevated,Informational
162,queen size bed dimensions,Commercial Investigation
163,how to sleep with your legs elevated,Informational
164,what size weighted blanket for twin bed,Informational
165,size weighted blanket,Informational
166,remove urine from memory foam mattress,Informational
167,adjustable bed meme,Unknown
168,remove blood from memory foam mattress,Informational
169,what are split king sheets,Informational
170,vacuum sealed mattress,Transactional
171,full queen,Unknown
172,adjustable bed base split king,Informational
173,is full and queen the same size,Informational
174,blood out of mattress,Informational
175,how much does a bed cost,Informational
176,ghostbed luxe king,Transactional
177,https www ghostbed com,Informational
178,the ghostbed,Commercial Investigation
179,ghostbed register,Unknown
180,ghostbed with adjustable base,Informational
181,ghostbed pillow review,Informational
182,ghostbed king adjustable base,Transactional
183,ghostbed wrapify,Unknown
184,ghostbed mattress cover,Transactional
185,queen mattress dimensions,Informational
186,queen size weighted blanket,Transactional
187,supima cotton,Navigational
188,how much is a purple mattress,Informational
189,king size vs queen size,Informational
190,clean pee from mattress,Informational
191,adjustable mattress base,Transactional
192,how to clean urine from a mattress,Informational
193,sleep on an incline,Informational
194,is full the same as queen,Informational
195,urine on mattress,Informational
196,difference between king and queen size bed,Informational
197,what is a split king,Informational
198,best mattress for fibromyalgia,Transactional
199,is a queen bed bigger than a king,Informational
200,power adjustable bed frame,Transactional
201,gravity bed,Transactional
202,mattress meme,Unknown
203,washing bed sheets,Informational
204,bed frame and mattress bundles,Commercial Investigation
205,queen vs king dimensions,Informational
